"tract","Name","Household_Income_rP_gF_pall"
6037181400,"Northeast Los Angeles, Los Angeles, CA",43872
6037551502,"Downey, CA",43695
6037550601,"Downey, CA",43586
6037189500,"Central LA, Los Angeles, CA",43580
6037276603,"Playa del Rey, Los Angeles, CA",43513
6037462800,"Lamanda Park, Pasadena, CA",43498
6037480902,"Alhambra, CA",43480
6037195201,"Central LA, Los Angeles, CA",43480
6037211803,"Central LA, Los Angeles, CA",43479
6037197300,"Echo Park, Los Angeles, CA",43401
6037216800,"Central LA, Los Angeles, CA",43278
6037701502,"Downtown, Santa Monica, CA",43261
6037463601,"Pasadena, CA",43260
6037302201,"Citrus Grove, Glendale, CA",43241
6037275311,"Los Angeles, CA",43225
6037201402,"Northeast Los Angeles, Los Angeles, CA",43185
6037201302,"Northeast Los Angeles, Los Angeles, CA",43183
6037183402,"Northeast Los Angeles, Los Angeles, CA",43154
6037143603,"North Hollywood, Los Angeles, CA",43125
6037502401,"El Rancho, Pico Rivera, CA",43096
6037215101,"Central LA, Los Angeles, CA",43089
6037482401,"Garvey, Rosemead, CA",43088
6037191901,"Central LA, Los Angeles, CA",43078
6037481101,"San Gabriel, CA",43064
6037212101,"Central LA, Los Angeles, CA",43046
6037552002,"Norwalk, CA",43017
6037502801,"Santa Fe Springs, CA",43002
6037275302,"Marina del Rey, CA",42928
6037212800,"Central LA, Los Angeles, CA",42908
6037480903,"Alhambra, CA",42893
6037551800,"Downey, CA",42874
6037211410,"Central LA, Los Angeles, CA",42823
6037533502,"Huntington Park, CA",42799
6037553400,"Downey, CA",42747
6037201700,"Northeast Los Angeles, Los Angeles, CA",42697
6037191620,"Central LA, Los Angeles, CA",42674
6037194401,"Beverly Grove, Los Angeles, CA",42649
6037275102,"Culver City, CA",42615
6037311801,"Burbank, CA",42598
6037550901,"Downey, CA",42541
6037211804,"Central LA, Los Angeles, CA",42489
6037553000,"Norwalk, CA",42473
6037125502,"North Hollywood, Los Angeles, CA",42421
6037199120,"Montecito Heights, Los Angeles, CA",42416
6037551700,"Downey, CA",42389
6037536200,"South Gate, CA",42387
6037189201,"Central LA, Los Angeles, CA",42366
6037550400,"Downey, CA",42364
6037502402,"El Rancho, Pico Rivera, CA",42323
6037199400,"Mount Washington, Los Angeles, CA",42303
6037143200,"West Toluca Lake, Los Angeles, CA",42264
6037278001,"Westchester, Los Angeles, CA",42196
6037552800,"Norwalk, CA",42189
6037185204,"Northeast Los Angeles, Los Angeles, CA",42120
6037273902,"Venice, Los Angeles, CA",41988
6037551202,"Downey, CA",41962
6037183300,"Northeast Los Angeles, Los Angeles, CA",41943
6037530102,"South Montebello, Montebello, CA",41916
6037183702,"Northeast Los Angeles, Los Angeles, CA",41871
6037482522,"South Montebello, Montebello, CA",41853
6037271802,"Palms, Los Angeles, CA",41847
6037191820,"Central LA, Los Angeles, CA",41827
6037535902,"South Gate, CA",41820
6037192002,"Central LA, Los Angeles, CA",41818
6037700101,"Central LA, West Hollywood, CA",41784
6037125100,"Valley Village, Los Angeles, CA",41768
6037602200,"Los Angeles, CA",41735
6037214800,"Beverly Grove, Los Angeles, CA",41726
6037301801,"Vineyard, Glendale, CA",41716
6037269800,"Castle Heights, Los Angeles, CA",41649
6037214400,"Central LA, Los Angeles, CA",41631
6037701702,"Downtown, Santa Monica, CA",41607
6037195802,"Central LA, Los Angeles, CA",41605
6037183620,"Northeast Los Angeles, Los Angeles, CA",41597
6037601301,"Inglewood, CA",41566
6037201602,"Northeast Los Angeles, Los Angeles, CA",41532
6037462400,"Bungalow Heaven, Pasadena, CA",41436
6037208301,"Central LA, Los Angeles, CA",41421
6037195600,"Los Angeles, CA",41415
6037267403,"West Los Angeles, Los Angeles, CA",41406
6037199202,"Montecito Heights, Los Angeles, CA",41354
6037190301,"Central LA, Los Angeles, CA",41335
6037199300,"Montecito Heights, Los Angeles, CA",41310
6037267501,"West Los Angeles, Los Angeles, CA",41285
6037551900,"Norwalk, CA",41260
6037185100,"Mount Washington, Los Angeles, CA",41255
6037208710,"Central LA, Los Angeles, CA",41210
6037208501,"Central LA, Los Angeles, CA",41165
6037551401,"Downey, CA",41156
6037534501,"Huntington Park, CA",41140
6037270200,"Palms, Los Angeles, CA",41113
6037188100,"Atwater Village, Los Angeles, CA",41062
6037271801,"Palms, Los Angeles, CA",41054
6037213100,"Central LA, Los Angeles, CA",41025
6037192420,"Central LA, Los Angeles, CA",41011
6037212102,"Central LA, Los Angeles, CA",40984
6037703002,"Los Angeles, CA",40970
6037502700,"Santa Fe Springs, CA",40903
6037533804,"Bell, CA",40901
6037183103,"Highland Park, Los Angeles, CA",40858
6037195903,"Silver Lake, Los Angeles, CA",40800
6037502601,"El Rancho, Pico Rivera, CA",40779
6037500800,"El Rancho, Pico Rivera, CA",40745
6037602301,"Hawthorne, CA",40696
6037195804,"Silver Lake, Los Angeles, CA",40642
6037213401,"Central LA, Los Angeles, CA",40575
6037502602,"El Rancho, Pico Rivera, CA",40522
6037533503,"Huntington Park, CA",40438
