"tract","Name","Incarceration_Rate_rP_gP_p25"
6037533103,"Huntington Park, CA",0.0203
6037461902,"Pasadena, CA",0.0203
6037602802,"South Los Angeles, Los Angeles, CA",0.0202
6037535101,"South Los Angeles, Los Angeles, CA",0.0202
6037535300,"South Los Angeles, Los Angeles, CA",0.0201
6037192610,"Central LA, Los Angeles, CA",0.0201
6037533806,"Bell, CA",0.02
6037540600,"South Los Angeles, Los Angeles, CA",0.02
6037201120,"Northeast Los Angeles, Los Angeles, CA",0.02
6037533104,"Huntington Park, CA",0.0199
6037542103,"Compton, CA",0.0199
6037703001,"Fox Hills, Culver City, CA",0.0199
6037600502,"Inglewood, CA",0.0199
6037218701,"Central LA, Los Angeles, CA",0.0197
6037533107,"Huntington Park, CA",0.0196
6037240700,"South Los Angeles, Los Angeles, CA",0.0196
6037211121,"Central LA, Los Angeles, CA",0.0196
6037554103,"Bellflower, CA",0.0195
6037204120,"Central LA, Los Angeles, CA",0.0194
6037226410,"South Los Angeles, Los Angeles, CA",0.0194
6037265700,"Westwood, Los Angeles, CA",0.0193
6037228500,"South Figueroa Corridor, Los Angeles, CA",0.0193
6037533602,"Bell, CA",0.0192
6037602801,"South Los Angeles, Los Angeles, CA",0.0192
6037191420,"Central LA, Los Angeles, CA",0.0192
6037702901,"Marina del Rey, CA",0.0192
6037536102,"South Gate, CA",0.0191
6037540800,"South Los Angeles, Los Angeles, CA",0.0191
6037461600,"North Central, Pasadena, CA",0.0191
6037201110,"Northeast Los Angeles, Los Angeles, CA",0.019
6037203100,"Northeast Los Angeles, Los Angeles, CA",0.019
6037531301,"Los Angeles, CA",0.0189
6037502601,"El Rancho, Pico Rivera, CA",0.0189
6037237710,"South Figueroa Corridor, Los Angeles, CA",0.0188
6037231210,"South Los Angeles, Los Angeles, CA",0.0187
6037212204,"Central LA, Los Angeles, CA",0.0186
6037190901,"Central LA, Los Angeles, CA",0.0186
6037211122,"Central LA, Los Angeles, CA",0.0186
6037203800,"Boyle Heights, Los Angeles, CA",0.0185
6037533300,"Maywood, CA",0.0185
6037269700,"Beverlywood, Los Angeles, CA",0.0184
6037540901,"South Los Angeles, Los Angeles, CA",0.0184
6037229420,"South Los Angeles, Los Angeles, CA",0.0183
6037462001,"North Central, Pasadena, CA",0.0183
6037187200,"Echo Park, Los Angeles, CA",0.0181
6037199300,"Montecito Heights, Los Angeles, CA",0.0181
6037532002,"South Montebello, Montebello, CA",0.0181
6037242000,"South Los Angeles, Los Angeles, CA",0.0181
