"tract","Name","Household_Income_rP_gP_pall"
6037702802,"McLaughlin, Los Angeles, CA",44510
6037702501,"Carlson Park, Culver City, CA",44424
6037463602,"Pasadena, CA",44410
6037480304,"Alhambra, CA",44408
6037482800,"South Montebello, Monterey Park, CA",44392
6037195202,"Central LA, Los Angeles, CA",44382
6037302301,"Moorpark, Glendale, CA",44377
6037267700,"Sawtelle, Los Angeles, CA",44362
6037271701,"Palms, Los Angeles, CA",44344
6037482201,"Monterey Park, CA",44312
6037271902,"Mar Vista, Los Angeles, CA",44261
6037702901,"Marina del Rey, CA",44258
6037192002,"Central LA, Los Angeles, CA",44195
6037188201,"Central LA, Los Angeles, CA",44118
6037212702,"Central LA, Los Angeles, CA",44101
6037189800,"Central LA, Los Angeles, CA",44074
6037603500,"Gardena, CA",43930
6037702801,"Clarkdale, Culver City, CA",43900
6037482402,"Garvey, Rosemead, CA",43725
6037480803,"Alhambra, CA",43698
6037217002,"Central LA, Los Angeles, CA",43679
6037463400,"Pasadena, CA",43655
6037183222,"Northeast Los Angeles, Los Angeles, CA",43653
6037141201,"Sherman Oaks, Los Angeles, CA",43587
6037480901,"Alhambra, CA",43538
6037141303,"Sherman Oaks, Los Angeles, CA",43529
6037211704,"Central LA, Los Angeles, CA",43514
6037271901,"Mar Vista, Los Angeles, CA",43487
6037181400,"Northeast Los Angeles, Los Angeles, CA",43447
6037551502,"Downey, CA",43327
6037482301,"Garvey, San Gabriel, CA",43316
6037187300,"Silver Lake, Los Angeles, CA",43289
6037143603,"North Hollywood, Los Angeles, CA",43279
6037550400,"Downey, CA",43262
6037462202,"Pasadena, CA",43259
6037311600,"Burbank, CA",43255
6037197200,"Echo Park, Los Angeles, CA",43105
6037480903,"Alhambra, CA",43071
6037301802,"Vineyard, Glendale, CA",43020
6037551501,"Downey, CA",42970
6037530006,"South Montebello, Montebello, CA",42955
6037187101,"Atwater Village, Los Angeles, CA",42939
6037700501,"Central LA, West Hollywood, CA",42894
6037530004,"South Montebello, Montebello, CA",42886
6037480804,"Alhambra, CA",42874
6037267600,"Sawtelle, Los Angeles, CA",42843
6037275311,"Los Angeles, CA",42826
6037275602,"Westchester, Los Angeles, CA",42798
6037214800,"Beverly Grove, Los Angeles, CA",42773
6037302002,"Downtown, Glendale, CA",42650
6037192410,"Central LA, Los Angeles, CA",42642
6037265305,"Westwood, Los Angeles, CA",42634
6037139502,"Encino, Los Angeles, CA",42618
6037143604,"Studio City, Los Angeles, CA",42564
6037186201,"Northeast Los Angeles, Los Angeles, CA",42547
6037185204,"Northeast Los Angeles, Los Angeles, CA",42545
6037302504,"Mariposa, Glendale, CA",42522
6037211703,"Central LA, Los Angeles, CA",42518
6037183401,"Northeast Los Angeles, Los Angeles, CA",42515
6037211420,"Central LA, Los Angeles, CA",42425
6037482304,"Garvey, Rosemead, CA",42402
6037143100,"Toluca Lake, Los Angeles, CA",42323
6037482503,"Garvey, Rosemead, CA",42275
6037273902,"Venice, Los Angeles, CA",42265
6037502801,"Santa Fe Springs, CA",42248
6037480802,"Alhambra, CA",42243
6037550601,"Downey, CA",42232
6037201302,"Northeast Los Angeles, Los Angeles, CA",42145
6037553100,"Bellflower, CA",42078
6037482701,"South Montebello, Monterey Park, CA",42064
6037302202,"Mariposa, Glendale, CA",42061
6037550902,"Downey, CA",42042
6037551800,"Downey, CA",41991
6037201601,"Northeast Los Angeles, Los Angeles, CA",41988
6037482303,"Garvey, Rosemead, CA",41913
6037481102,"San Gabriel, CA",41880
6037275400,"Los Angeles, CA",41842
6037302104,"Citrus Grove, Glendale, CA",41837
6037125200,"North Hollywood, Los Angeles, CA",41804
6037502402,"El Rancho, Pico Rivera, CA",41797
6037125100,"Valley Village, Los Angeles, CA",41704
6037275302,"Marina del Rey, CA",41695
6037701100,"West Los Angeles, Los Angeles, CA",41677
6037186404,"Glassell Park, Los Angeles, CA",41671
6037189600,"Central LA, Los Angeles, CA",41667
6037702502,"Culver City, CA",41642
6037481902,"Alhambra, CA",41622
6037553200,"Bellflower, CA",41611
6037702002,"Ocean Park, Santa Monica, CA",41609
6037502401,"El Rancho, Pico Rivera, CA",41605
6037181500,"Northeast Los Angeles, Los Angeles, CA",41571
6037186302,"Glassell Park, Los Angeles, CA",41551
6037189101,"Central LA, Los Angeles, CA",41519
6037482521,"South Montebello, Rosemead, CA",41483
6037212420,"Central LA, Los Angeles, CA",41472
6037273100,"Venice, Los Angeles, CA",41462
6037462800,"Lamanda Park, Pasadena, CA",41447
6037212701,"Central LA, Los Angeles, CA",41432
6037186203,"Northeast Los Angeles, Los Angeles, CA",41384
6037216100,"Central LA, Los Angeles, CA",41371
6037554001,"Bellflower, CA",41370
6037187102,"Atwater Village, Los Angeles, CA",41368
6037183702,"Northeast Los Angeles, Los Angeles, CA",41301
6037272301,"Mar Vista, Los Angeles, CA",41297
6037701502,"Downtown, Santa Monica, CA",41121
6037481202,"San Gabriel, CA",41102
6037212102,"Central LA, Los Angeles, CA",41046
6037533106,"Huntington Park, CA",41027
6037702400,"Lucerne - Higuera, Culver City, CA",41022
6037278001,"Westchester, Los Angeles, CA",41009
6037480902,"Alhambra, CA",40980
6037550500,"Downey, CA",40977
6037269907,"Palms, Los Angeles, CA",40972
6037502500,"El Rancho, Pico Rivera, CA",40960
6037189500,"Central LA, Los Angeles, CA",40914
6037554103,"Bellflower, CA",40847
6037216800,"Central LA, Los Angeles, CA",40835
6037199120,"Montecito Heights, Los Angeles, CA",40835
6037536102,"South Gate, CA",40816
6037302201,"Citrus Grove, Glendale, CA",40810
6037189904,"Central LA, Los Angeles, CA",40741
6037273402,"Venice, Los Angeles, CA",40724
6037553300,"Bellflower, CA",40666
6037552002,"Norwalk, CA",40592
6037125402,"North Hollywood, Los Angeles, CA",40549
6037195201,"Central LA, Los Angeles, CA",40533
6037195300,"Central LA, Los Angeles, CA",40479
6037267300,"West Los Angeles, Los Angeles, CA",40464
6037211803,"Central LA, Los Angeles, CA",40442
6037275603,"Culver City, CA",40396
6037551700,"Downey, CA",40392
6037551401,"Downey, CA",40359
6037195500,"Silver Lake, Los Angeles, CA",40323
6037311801,"Burbank, CA",40293
6037271801,"Palms, Los Angeles, CA",40271
6037201402,"Northeast Los Angeles, Los Angeles, CA",40207
6037552100,"Norwalk, CA",40170
6037550202,"Norwalk, CA",40155
6037602301,"Hawthorne, CA",40143
6037534501,"Huntington Park, CA",40142
6037553000,"Norwalk, CA",40119
6037269800,"Castle Heights, Los Angeles, CA",40113
6037552800,"Norwalk, CA",40030
6037143200,"West Toluca Lake, Los Angeles, CA",39984
6037185100,"Mount Washington, Los Angeles, CA",39967
6037551202,"Downey, CA",39964
6037212610,"Central LA, Los Angeles, CA",39938
6037302503,"Mariposa, Glendale, CA",39928
6037701701,"Mid-City, Santa Monica, CA",39907
6037502601,"El Rancho, Pico Rivera, CA",39892
6037550201,"Norwalk, CA",39865
6037502602,"El Rancho, Pico Rivera, CA",39843
6037199800,"Northeast Los Angeles, Los Angeles, CA",39837
6037551201,"Downey, CA",39830
6037302506,"Adams Hill, Glendale, CA",39791
6037214400,"Central LA, Los Angeles, CA",39767
6037213100,"Central LA, Los Angeles, CA",39755
6037206010,"Central LA, Los Angeles, CA",39753
6037301602,"Riverside Rancho, Glendale, CA",39747
6037273800,"Venice, Los Angeles, CA",39742
6037191820,"Central LA, Los Angeles, CA",39728
6037195600,"Los Angeles, CA",39675
6037301601,"Grandview, Glendale, CA",39669
6037183402,"Northeast Los Angeles, Los Angeles, CA",39625
6037199300,"Montecito Heights, Los Angeles, CA",39625
6037194401,"Beverly Grove, Los Angeles, CA",39625
6037462700,"Mid Central, Pasadena, CA",39619
6037482401,"Garvey, Rosemead, CA",39585
6037500800,"El Rancho, Pico Rivera, CA",39569
6037530102,"South Montebello, Montebello, CA",39566
6037214501,"Central LA, Los Angeles, CA",39544
6037214503,"Central LA, Los Angeles, CA",39534
6037602402,"Hawthorne, CA",39519
6037461902,"Pasadena, CA",39416
6037212800,"Central LA, Los Angeles, CA",39402
6037533502,"Huntington Park, CA",39374
6037700101,"Central LA, West Hollywood, CA",39365
6037192510,"Central LA, Los Angeles, CA",39361
6037125501,"North Hollywood, Los Angeles, CA",39322
6037552001,"Norwalk, CA",39297
6037462400,"Bungalow Heaven, Pasadena, CA",39295
6037703002,"Los Angeles, CA",39218
6037212306,"Central LA, Los Angeles, CA",39183
6037201700,"Northeast Los Angeles, Los Angeles, CA",39175
